关节角1 关节角2 关节角3 关节角4 关节角5 关节角6
-11.738528 -28.452526 -62.322000 -85.638613 -103.433373 -89.130786
-9.929312 -41.875053 -39.357961 -96.202115 -102.945048 -90.531733
-7.447411 -31.457850 -52.466296 -92.537090 -100.893902 -90.305196
-6.339020 -31.846816 -38.690979 -107.499685 -100.446388 -90.697392
1.177236 -26.216047 -51.455193 -99.076436 -92.664289 -90.438603
-0.029385 -31.361917 -45.033449 -99.745555 -96.095530 -89.755502
3.387823 -29.738712 -46.822842 -100.017739 -93.885916 -90.767716
6.043251 -28.489525 -40.752812 -109.628853 -91.051483 -90.274842
10.143210 -26.371072 -45.140696 -106.261877 -86.702141 -90.784955
12.998553 -28.880710 -47.544226 -102.266872 -83.637217 -91.153983
14.366538 -20.641928 -62.167282 -96.677380 -79.380028 -90.057076
17.568251 -18.815800 -61.321104 -97.871481 -75.058909 -90.974718
17.595102 -24.498287 -57.078627 -95.577077 -68.268922 -90.829392
21.390493 -17.231278 -72.648467 -85.870238 -72.263695 -90.695172
22.686637 -15.394196 -77.577213 -83.636438 -75.147538 -91.005154
26.797586 -21.976923 -77.752749 -76.938277 -73.202382 -90.774000
32.455870 -14.581120 -91.942522 -71.656266 -65.251898 -93.838323
30.254664 -20.888706 -94.553956 -62.021075 -65.209237 -91.421529
32.707812 -22.634630 -94.430767 -60.469256 -63.529666 -90.238280
36.829203 -25.886963 -87.701719 -61.398435 -64.096251 -92.742938
38.272753 -25.659632 -97.395574 -54.071985 -54.324914 -90.559504
43.703256 -24.914507 -99.852236 -51.877203 -52.110460 -91.076625
42.318165 -27.784854 -90.056365 -58.181122 -49.303092 -93.353420
45.916859 -27.467695 -93.992323 -55.115501 -45.767294 -92.945235
44.519327 -29.279576 -88.279252 -58.626273 -51.312599 -98.635315
47.358875 -30.641096 -84.032343 -62.272973 -34.364034 -94.697363
51.189683 -32.536719 -77.914263 -66.867129 -45.947304 -91.606128
50.117900 -24.134002 -84.481449 -62.987328 -32.460464 -95.246127
51.849411 -39.630895 -52.168213 -84.692911 -40.510586 -92.288737
52.987136 -38.016751 -49.465371 -91.729161 -48.540973 -90.739029
