# 轨迹类型：正弦轨迹
# 点数：30
# X(mm) Y(mm) Z(mm)
250.00 -120.00 200.00
250.00 -111.72 210.75
250.00 -103.45 220.99
250.00 -95.17 230.26
250.00 -86.90 238.11
250.00 -78.62 244.18
250.00 -70.34 248.18
250.00 -62.07 249.93
250.00 -53.79 249.34
250.00 -45.52 246.45
250.00 -37.24 241.38
250.00 -28.97 234.38
250.00 -20.69 225.78
250.00 -12.41 215.97
250.00 -4.14 205.41
250.00 4.14 194.59
250.00 12.41 184.03
250.00 20.69 174.22
250.00 28.97 165.62
250.00 37.24 158.62
250.00 45.52 153.55
250.00 53.79 150.66
250.00 62.07 150.07
250.00 70.34 151.82
250.00 78.62 155.82
250.00 86.90 161.89
250.00 95.17 169.74
250.00 103.45 179.01
250.00 111.72 189.25
250.00 120.00 200.00
